x,y,z,foc,aim x,aim y,aim z
m,m,m,m,m,m,m
75.3130656925331,-31.5023897302173,5,136.111943875322,8.141466,-3.40546,120
67.7061341964685,-45.6107203943559,5,136.111943886087,7.319144,-4.930594,120
57.4891766521538,-57.9607883881833,5,136.111944130034,6.214674,-6.265656,120
45.0560499182178,-68.0765068763768,5,136.11194390293,4.870633,-7.359182,120
30.8860426886895,-75.567921697998,5,136.111944024081,3.338832,-8.169016,120
15.5253992354045,-80.146243837772,5,136.111944140156,1.678321,-8.66394,120
-14.9900066600001,-96.58862876,5,145.367626261685,-1.353389,-8.720606,120
-30.7283236819585,-92.7891891822573,5,145.367626662173,-2.774339,-8.377569,120
-45.6235620849807,-86.4439360978077,5,145.367626259751,-4.119171,-7.804682,120
-59.2670481922491,-77.7269612424259,5,145.367626481436,-5.350988,-7.01766,120
-71.2844520681692,-66.8774281708323,5,145.367626200505,-6.435992,-6.038099,120
-81.3460578334184,-54.1930104383036,5,145.367626524903,-7.344414,-4.892873,120
-89.1758099250365,-40.0217244708134,5,145.367626351027,-8.051332,-3.613403,120
-94.5588871035593,-24.7523812014173,5,145.36762665079,-8.537348,-2.234795,120
-97.3475964027101,-8.80391844686276,5,145.367626425577,-8.78913,-0.794871,120
-97.4654253121133,7.38609329299377,5,145.367626620222,-8.799768,0.666861,120
-94.909141015191,23.3734562519652,5,145.367626724889,-8.568971,2.110297,120
-89.7488790864367,38.7195326435134,5,145.367626247816,-8.103072,3.495834,120
-82.1262192145205,53.0032793601723,5,145.367626327942,-7.414852,4.785457,120
-72.2503007467088,65.8327999360052,5,145.367626763507,-6.523194,5.943783,120
-60.3920846305867,76.8560968263156,5,145.367626557947,-5.452563,6.939033,120
-46.8769191854999,85.7707289993507,5,145.367626588301,-4.232332,7.7439,120
-32.0756136731596,92.3321098691791,5,145.367626825533,-2.89598,8.336301,120
-16.3942645776747,96.3602179032465,5,145.367626763594,-1.480173,8.699983,120
-0.263113726595297,97.7445357888144,5,145.367626478081,-0.023756,8.824968,120
15.8752560525173,96.4470826446863,5,145.367626543225,1.433314,8.707826,120
31.5780638697559,92.5034560848489,5,145.367626186518,2.851059,8.351772,120
46.4144791446761,86.0218555434163,5,145.367626204802,4.19058,7.766574,120
59.9774421030641,77.1801136574541,5,145.367626384568,5.415126,6.968288,120
71.8948320852319,66.2208171562406,5,145.367626636694,6.4911,5.978816,120
81.8396772461976,53.4446511228407,5,145.367626697685,7.388981,4.825306,120
89.5391255289917,39.2021492383696,5,145.367626481788,8.084134,3.539407,120
94.7819307786984,23.8840763536288,5,145.367626521789,8.557486,2.156399,120
97.4242486042267,7.91070725698928,5,145.367626220751,8.796051,0.714226,120
97.3935829694702,-8.27970420805478,5,145.367626380185,8.793282,-0.747542,120
94.6907752330811,-24.2429493082435,5,145.367626511179,8.549256,-2.1888,120
89.3899810645073,-39.5410519674296,5,145.367626716599,8.070668,-3.570005,120
81.6366358696356,-53.7542853109635,5,145.367626680015,7.370649,-4.853262,120
71.643464547705,-66.4926875152876,5,145.367626686072,6.468405,-6.003362,120
59.6846450579197,-77.4067610077704,5,145.367626246404,5.388691,-6.988751,120
46.0882859272502,-86.1970614678481,5,145.367626642778,4.161129,-7.782392,120
31.2274240905154,-92.6224135405413,5,145.367626325578,2.819401,-8.362512,120
15.509790050791,-96.5065278516657,5,145.367626540192,1.400318,-8.713193,120
-16.4556962,-112.1070234,5,155.376200146521,-1.281649,-8.731437,120
-32.2485482358471,-108.622307882475,5,155.376199783216,-2.511673,-8.460031,120
-47.384418025251,-102.924688784777,5,155.376199632746,-3.690528,-8.016273,120
-61.5549506722522,-95.1302406218519,5,155.376200233165,-4.794197,-7.409203,120
-74.4714575728352,-85.3977554740887,5,155.376199803202,-5.800198,-6.65119,120
-85.870797711855,-73.9255080020728,5,155.37620006705,-6.688033,-5.757676,120
-95.5207384927389,-60.9472161040734,5,155.376200043766,-7.439617,-4.746864,120
-103.224686886681,-46.7272795076004,5,155.376199784071,-8.039638,-3.639347,120
-108.825694516183,-31.5553932966342,5,155.376199563365,-8.475872,-2.457687,120
-112.209655079531,-15.7406461102279,5,155.37619972829,-8.739431,-1.225958,120
-113.307628976825,0.39477675330762,5,155.376200107021,-8.824946,0.030747,120
-112.097247779188,16.5221570433811,5,155.376199829264,-8.730676,1.286826,120
-108.603169928683,32.3129403564042,5,155.376200101687,-8.45854,2.516688,120
